seller_id,buyer_id,Commodity
1218,1080,Aluminium
1525,1074,Tin
1538,1074,Copper
302,1074,Aluminium
302,5673,Zinc
302,1080,Zinc
344,5673,Aluminium
1074,1218,Copper
1074,1525,Lead
1074,1538,Zinc
1074,302,Tin
1074,1534,Lead
1074,502,Copper
1074,1335,Lead
1074,1359,Zinc
1074,4317,Tin
1074,1273,Aluminium
1074,1539,Lead
1534,1074,Lead
1066,1359,Zinc
502,1074,Tin
502,1080,Aluminium
1335,1074,Zinc
1359,1074,Tin
1359,1066,Aluminium
1359,5673,Tin
5673,580,Copper
5673,1218,Aluminium
5673,302,Zinc
5673,344,Zinc
5673,1359,Aluminium
5673,3998,Copper
3998,5673,Lead
4317,1074,Zinc
1273,1074,Tin
1080,580,Lead
1080,1218,Copper
1080,302,Lead
1080,502,Zinc
1539,1074,Tin
2895,2844,Aluminium
2895,2848,Lead
2896,2897,Lead
2897,2895,Zinc
2844,2895,Tin
2848,2895,Aluminium
2966,4029,Zinc
2966,2948,Tin
2980,4029,Aluminium
4029,2966,Tin
4029,2980,Copper
4029,6156,Aluminium
4029,6149,Zinc
4029,6153,Zinc
4029,6150,Aluminium
4029,6485,Copper
4029,2981,Lead
4029,1743,Zinc
6156,4029,Tin
6149,4029,Lead
6153,4029,Copper
2948,2966,Lead
6150,4029,Zinc
6485,4029,Tin
2981,4029,Aluminium
1743,4029,Lead
2874,2881,Lead
2774,2878,Zinc
2897,1762,Tin
2877,2881,Aluminium
2877,2899,Zinc
2878,2774,Tin
2878,2881,Aluminium
2878,1762,Tin
2878,2893,Copper
2881,2874,Aluminium
2881,2877,Zinc
2881,2878,Zinc
2881,6460,Aluminium
2881,1762,Copper
2881,2879,Copper
2881,2899,Aluminium
6460,2881,Zinc
1762,2881,Zinc
1762,2899,Aluminium
2879,2881,Copper
2893,2878,Lead
2899,2877,Zinc
2899,2881,Tin
2899,1762,Lead
6351,3379,Copper
3370,3393,Lead
3370,3395,Zinc
3370,2244,Tin
3375,4380,Aluminium
3375,3393,Lead
3375,3395,Lead
3375,3386,Zinc
3375,3400,Tin
3375,3382,Aluminium
3375,3399,Zinc
4380,3375,Tin
4380,3388,Aluminium
4380,4108,Tin
4380,3368,Copper
3393,3370,Aluminium
3393,3375,Zinc
3393,3371,Zinc
3393,3395,Aluminium
3393,4109,Copper
3393,3404,Lead
3393,6353,Zinc
3393,4120,Tin
3393,3386,Lead
3393,3179,Copper
3393,4085,Lead
3393,3384,Zinc
3393,3382,Tin
3393,6431,Aluminium
3393,4033,Lead
3393,4097,Lead
3393,3387,Zinc
3393,3388,Tin
3393,3373,Aluminium
3393,3364,Zinc
3393,3406,Tin
3393,6435,Aluminium
3393,4302,Tin
3393,3361,Copper
3393,4030,Aluminium
3393,3374,Zinc
3393,4108,Zinc
3393,2275,Aluminium
3393,3368,Copper
3393,3369,Lead
3393,3399,Zinc
3393,3376,Tin
3393,6390,Lead
3393,3379,Copper
3393,6366,Lead
3393,6361,Zinc
3393,6357,Tin
3371,3393,Aluminium
3371,3395,Lead
3371,3385,Lead
3371,3382,Zinc
3371,4144,Tin
3371,6392,Aluminium
3371,3383,Zinc
3395,3370,Tin
3395,3375,Aluminium
3395,3393,Tin
3395,3371,Copper
3395,9310,Aluminium
3395,6434,Zinc
3395,4120,Zinc
3395,8407,Aluminium
3395,6345,Copper
3395,3389,Lead
3395,3386,Zinc
3395,3077,Tin
3395,3179,Lead
3395,3930,Copper
3395,4085,Lead
3395,4055,Zinc
3395,8781,Tin
3395,4301,Aluminium
3395,3384,Lead
3395,3382,Lead
3395,6379,Zinc
3395,3394,Tin
3395,6431,Aluminium
3395,4033,Zinc
3395,6376,Tin
3395,4097,Aluminium
3395,6402,Tin
3395,3339,Copper
3395,3388,Aluminium
3395,3373,Zinc
3395,3364,Zinc
3395,3406,Aluminium
3395,6435,Copper
3395,4144,Lead
3395,6347,Zinc
3395,4030,Tin
3395,3374,Lead
3395,3390,Copper
3395,4108,Lead
3395,2275,Zinc
3395,3368,Tin
3395,3369,Aluminium
3395,3399,Lead
3395,6392,Lead
3395,3376,Zinc
3395,6390,Tin
3395,6403,Aluminium
3395,3396,Zinc
3395,3379,Tin
3395,3383,Aluminium
3395,6366,Tin
3395,4149,Copper
3395,6361,Aluminium
3395,8876,Zinc
4109,3393,Zinc
4109,3400,Aluminium
4109,3383,Copper
4109,6355,Lead
6344,3369,Zinc
9310,3395,Tin
3404,3393,Lead
3404,3386,Copper
3404,3400,Lead
3404,4108,Zinc
3404,4149,Tin
4308,6431,Aluminium
6434,3395,Lead
6434,4144,Lead
6353,3393,Zinc
6353,3388,Tin
3385,3371,Aluminium
3385,3379,Zinc
9311,4097,Tin
9311,3379,Aluminium
4120,3393,Tin
4120,3395,Copper
4120,3386,Aluminium
4120,3387,Zinc
4120,6355,Zinc
8407,3395,Aluminium
6345,3395,Copper
3389,3395,Lead
3386,3375,Zinc
3386,3393,Tin
3386,3395,Lead
3386,3404,Copper
3386,4120,Lead
3386,3394,Zinc
3386,3368,Tin
3386,3369,Aluminium
3077,3395,Lead
3077,6361,Lead
3077,6357,Zinc
3179,3393,Tin
3179,3395,Aluminium
3400,3375,Zinc
3400,4109,Tin
3400,3404,Aluminium
3400,4085,Tin
3400,3387,Copper
3400,3388,Aluminium
3400,6954,Zinc
3400,6347,Zinc
3400,4108,Aluminium
3400,3368,Copper
3400,6392,Lead
3400,3376,Zinc
3400,3379,Tin
3400,4149,Lead
3930,3395,Copper
4085,3393,Lead
4085,3395,Zinc
4085,3400,Tin
4085,3372,Aluminium
6432,6431,Lead
4055,3395,Lead
4055,3382,Zinc
8781,3395,Tin
6386,3394,Aluminium
6386,3376,Zinc
4301,3395,Tin
3397,3399,Aluminium
3384,3393,Tin
3384,3395,Copper
3384,3382,Aluminium
3384,3387,Zinc
3382,3375,Zinc
3382,3393,Aluminium
3382,3371,Copper
3382,3395,Copper
3382,4055,Aluminium
3382,3384,Zinc
3382,3394,Zinc
3382,6376,Aluminium
3382,3387,Copper
3382,3388,Lead
3382,3390,Zinc
3382,4108,Tin
3382,2276,Lead
3382,6403,Copper
3382,3379,Lead
3382,3383,Zinc
3382,4149,Tin
6379,3395,Aluminium
6379,3383,Lead
3394,3395,Lead
3394,3386,Zinc
3394,6386,Tin
3394,3382,Aluminium
3394,6431,Zinc
3394,4030,Tin
3394,6392,Aluminium
3394,4149,Tin
3372,4085,Copper
3372,6347,Aluminium
3372,4030,Zinc
6431,3393,Zinc
6431,3395,Aluminium
6431,4308,Copper
6431,6432,Lead
6431,3394,Zinc
6431,3368,Tin
4033,3393,Lead
4033,3395,Copper
4033,6400,Lead
6376,3395,Zinc
6376,3382,Tin
4097,3393,Aluminium
4097,3395,Lead
4097,9311,Lead
4097,3379,Zinc
4097,6366,Tin
6385,3379,Aluminium
6402,3395,Zinc
3339,3395,Tin
6400,4033,Aluminium
6400,3388,Tin
6400,4030,Copper
6400,6366,Aluminium
3387,3393,Zinc
3387,4120,Zinc
3387,3400,Aluminium
3387,3384,Copper
3387,3382,Lead
3387,4144,Zinc
3387,4030,Tin
3388,4380,Lead
3388,3393,Copper
3388,3395,Lead
3388,6353,Zinc
3388,3400,Tin
3388,3382,Aluminium
3388,6400,Lead
3388,4030,Lead
3373,3393,Zinc
3373,3395,Tin
3373,3205,Aluminium
3373,3376,Zinc
5475,3376,Tin
6954,3400,Aluminium
3364,3393,Tin
3364,3395,Copper
3364,6403,Aluminium
3364,8043,Zinc
3406,3393,Zinc
3406,3395,Aluminium
3406,2244,Copper
6435,3393,Lead
6435,3395,Zinc
3205,3373,Tin
4144,3371,Lead
4144,3395,Copper
4144,6434,Lead
4144,3387,Zinc
4144,3369,Tin
4144,4149,Aluminium
4144,156,Lead
6347,3395,Lead
6347,3400,Zinc
6347,3372,Tin
2244,3370,Aluminium
2244,3406,Zinc
4302,3393,Tin
3361,3393,Aluminium
4030,3393,Tin
4030,3395,Copper
4030,3394,Aluminium
4030,3372,Zinc
4030,6400,Zinc
4030,3387,Aluminium
4030,3388,Copper
4030,4108,Lead
4030,6392,Zinc
4030,4110,Tin
3374,3393,Lead
3374,3395,Copper
3374,6403,Lead
3390,3395,Zinc
3390,3382,Tin
4108,4380,Aluminium
4108,3393,Lead
4108,3395,Lead
4108,3404,Zinc
4108,3400,Tin
4108,3382,Aluminium
4108,4030,Zinc
4108,3379,Tin
2276,3382,Aluminium
2275,3393,Tin
2275,3395,Copper
3368,4380,Aluminium
3368,3393,Zinc
3368,3395,Zinc
3368,3386,Aluminium
3368,3400,Copper
3368,6431,Lead
8858,3369,Zinc
3369,3393,Tin
3369,3395,Lead
3369,6344,Copper
3369,3386,Lead
3369,4144,Zinc
3369,8858,Tin
3399,3375,Aluminium
3399,3393,Lead
3399,3395,Lead
3399,3397,Zinc
3399,3379,Tin
6368,3379,Aluminium
6392,3371,Zinc
6392,3395,Tin
6392,3400,Aluminium
6392,3394,Tin
6392,4030,Copper
3376,3393,Aluminium
3376,3395,Zinc
3376,3400,Zinc
3376,6386,Aluminium
3376,3373,Copper
3376,5475,Lead
6390,3393,Zinc
6390,3395,Tin
6403,3395,Lead
6403,3382,Copper
6403,3364,Lead
6403,3374,Zinc
3396,3395,Tin
3379,6351,Aluminium
3379,3393,Lead
3379,3395,Lead
3379,3385,Zinc
3379,9311,Tin
3379,3400,Aluminium
3379,3382,Zinc
3379,4097,Tin
3379,6385,Aluminium
3379,4108,Tin
3379,3399,Copper
3379,6368,Aluminium
3379,3383,Zinc
3379,6366,Zinc
3379,4110,Aluminium
3383,3371,Copper
3383,3395,Lead
3383,4109,Zinc
3383,3382,Tin
3383,6379,Lead
3383,3379,Copper
6366,3393,Lead
6366,3395,Zinc
6366,4097,Tin
6366,6400,Aluminium
6366,3379,Lead
6366,8043,Lead
4149,3395,Zinc
4149,3404,Tin
4149,3400,Aluminium
4149,3382,Zinc
4149,3394,Tin
4149,4144,Aluminium
4110,4030,Tin
4110,3379,Copper
6361,3393,Aluminium
6361,3395,Zinc
6361,3077,Zinc
8876,3395,Aluminium
156,4144,Copper
6357,3393,Copper
6357,3077,Aluminium
8043,3364,Zinc
8043,6366,Zinc
6355,4109,Aluminium
6355,4120,Copper
3877,3484,Lead
3484,3877,Zinc
1128,1590,Tin
1590,1128,Lead
5965,7214,Copper
5965,7215,Lead
7214,5965,Zinc
7215,3423,Tin
3423,5965,Aluminium
8428,2988,Lead
6151,2988,Lead
4364,4111,Zinc
4364,2992,Tin
4364,2988,Aluminium
6143,6140,Zinc
6143,2988,Tin
6140,6143,Aluminium
6140,2975,Tin
6140,2988,Copper
2975,6140,Aluminium
4111,4364,Zinc
4368,2988,Zinc
2992,4364,Aluminium
2988,8428,Copper
2988,6151,Lead
2988,4364,Zinc
2988,6143,Tin
2988,6140,Lead
2988,4368,Copper
3885,3076,Lead
6176,3076,Zinc
3043,3069,Tin
3043,3076,Aluminium
3069,3043,Lead
3069,3076,Lead
3069,2194,Zinc
3068,3076,Tin
3076,3885,Aluminium
3076,6176,Zinc
3076,3043,Tin
3076,3069,Aluminium
